      0.3000    0.870908E-003   0.207607E-001   0.207607E-001   0.870908E-003   0.207607E-001   0.207608E+000   0.207608E+000   0.207607E-001   0.207607E-001   0.207608E+000   0.207608E+000   0.207607E-001   0.870908E-003   0.207607E-001   0.207607E-001   0.870908E-003
      0.3100    0.870994E-003   0.207610E-001   0.207610E-001   0.870994E-003   0.207610E-001   0.207607E+000   0.207607E+000   0.207610E-001   0.207610E-001   0.207607E+000   0.207607E+000   0.207610E-001   0.870994E-003   0.207610E-001   0.207610E-001   0.870994E-003
      0.3200    0.871065E-003   0.207613E-001   0.207613E-001   0.871065E-003   0.207613E-001   0.207606E+000   0.207606E+000   0.207613E-001   0.207613E-001   0.207606E+000   0.207606E+000   0.207613E-001   0.871065E-003   0.207613E-001   0.207613E-001   0.871065E-003
      0.3300    0.871122E-003   0.207616E-001   0.207616E-001   0.871122E-003   0.207616E-001   0.207606E+000   0.207606E+000   0.207616E-001   0.207616E-001   0.207606E+000   0.207606E+000   0.207616E-001   0.871122E-003   0.207616E-001   0.207616E-001   0.871122E-003
      0.3400    0.871164E-003   0.207618E-001   0.207618E-001   0.871164E-003   0.207618E-001   0.207605E+000   0.207605E+000   0.207618E-001   0.207618E-001   0.207605E+000   0.207605E+000   0.207618E-001   0.871164E-003   0.207618E-001   0.207618E-001   0.871164E-003
      0.3500    0.871192E-003   0.207620E-001   0.207620E-001   0.871192E-003   0.207620E-001   0.207605E+000   0.207605E+000   0.207620E-001   0.207620E-001   0.207605E+000   0.207605E+000   0.207620E-001   0.871192E-003   0.207620E-001   0.207620E-001   0.871192E-003
      0.3600    0.871207E-003   0.207621E-001   0.207621E-001   0.871207E-003   0.207621E-001   0.207605E+000   0.207605E+000   0.207621E-001   0.207621E-001   0.207605E+000   0.207605E+000   0.207621E-001   0.871207E-003   0.207621E-001   0.207621E-001   0.871207E-003
      0.3700    0.871210E-003   0.207621E-001   0.207621E-001   0.871210E-003   0.207621E-001   0.207605E+000   0.207605E+000   0.207621E-001   0.207621E-001   0.207605E+000   0.207605E+000   0.207621E-001   0.871210E-003   0.207621E-001   0.207621E-001   0.871210E-003
      0.3800    0.871200E-003   0.207621E-001   0.207621E-001   0.871200E-003   0.207621E-001   0.207605E+000   0.207605E+000   0.207621E-001   0.207621E-001   0.207605E+000   0.207605E+000   0.207621E-001   0.871200E-003   0.207621E-001   0.207621E-001   0.871200E-003
      0.3900    0.871179E-003   0.207621E-001   0.207621E-001   0.871179E-003   0.207621E-001   0.207605E+000   0.207605E+000   0.207621E-001   0.207621E-001   0.207605E+000   0.207605E+000   0.207621E-001   0.871179E-003   0.207621E-001   0.207621E-001   0.871179E-003
      0.4000    0.871147E-003   0.207620E-001   0.207620E-001   0.871147E-003   0.207620E-001   0.207605E+000   0.207605E+000   0.207620E-001   0.207620E-001   0.207605E+000   0.207605E+000   0.207620E-001   0.871147E-003   0.207620E-001   0.207620E-001   0.871147E-003
